Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
URB2,MUSNIGG00001682,2.780102952,6.869013653,0.041148087,0.997485416,UP
STOX1,MUSNIGG00002104,2.650835614,6.280309305,0.030094582,0.997485416,UP
WDFY4,MUSNIGG00002376,2.732070679,6.644085687,0.036358087,0.997485416,UP
MKI67,MUSNIGG00003090,3.07537667,8.429088735,0.01141305,0.647464116,UP
EMILIN2,MUSNIGG00004142,2.39532911,5.260971044,0.049361191,0.997485416,UP
LOXHD1,MUSNIGG00004447,4.121653954,17.40770313,0.032079042,0.997485416,UP
NLRC5,MUSNIGG00007925,4.47585999,22.25195195,0.014100278,0.730353554,UP
ZFHX3,MUSNIGG00008154,2.340637074,5.065262632,0.04515907,0.997485416,UP
SDR42E1,MUSNIGG00008310,3.344269817,10.15606632,0.027290816,0.997485416,UP
PPP1R3B,MUSNIGG00010516,3.657169159,12.61588194,0.025218565,0.997485416,UP
HSD11B1L,MUSNIGG00011042,19.00121511,524729.7688,2.32E-05,0.028068825,UP
XIRP1,MUSNIGG00012280,2.86515692,7.286151129,0.040270804,0.997485416,UP
FGD6,MUSNIGG00015077,2.476878668,5.566917365,0.037350545,0.997485416,UP
TCOF1,MUSNIGG00018861,2.328856205,5.024068744,0.037388572,0.997485416,UP
SRRM2,MUSNIGG00021679,4.585248289,24.00475471,0.042713988,0.997485416,UP
DISP2,MUSNIGG00023146,4.692437122,25.85617786,0.033146806,0.997485416,UP
ZFHX2,MUSNIGG00023447,4.582324697,23.95615883,0.029437278,0.997485416,UP
CCDC88C,MUSNIGG00024063,4.353487704,20.44232952,0.040272818,0.997485416,UP
C1ORF65,MUSNIGG00025048,5.247887023,37.99893351,0.009348819,0.581724328,UP
TRIP11,MUSNIGG00026621,2.101763342,4.292336978,0.025735198,0.997485416,UP
FAM22F,MUSNIGG00026641,4.339612213,20.2466626,0.01445104,0.737828836,UP
LRRFIP1,MUSNIGG00027626,5.200073648,36.76022389,0.001150089,0.189324262,UP
PXDNL,MUSNIGG00028637,2.891991571,7.422944441,0.02089418,0.997485416,UP
DCHS1,MUSNIGG00031002,3.150760092,8.881233671,0.034673646,0.997485416,UP
TENM4,MUSNIGG00031342,2.953035606,7.743767329,0.026867388,0.997485416,UP
PCDH10,MUSNIGG00033396,2.737297044,6.668198465,0.044533316,0.997485416,UP
ZNF462,MUSNIGG00036407,2.954840079,7.753459027,0.04817826,0.997485416,UP
C20ORF111,MUSNIGG00039590,3.130437056,8.757002088,0.0375725,0.997485416,UP
WRNIP1,MUSNIGG00042219,2.799347385,6.961254814,0.035247907,0.997485416,UP
TNFAIP3,MUSNIGG00043735,3.294656803,9.812745228,0.021358113,0.997485416,UP
